epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding
11752,82271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11753,82278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11754,82285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11755,82292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11756,82299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11757,82306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11758,82313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11759,82320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11760,82327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11761,82334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11762,82341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11763,82348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11764,82355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11765,82362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11766,82369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11767,82376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11768,82383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11769,82390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11770,82397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11771,82404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11772,82411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11773,82418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11774,82425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11775,82432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11776,82439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11777,82446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11778,82453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
